id,budget,genres,original_language,popularity,release_date,revenue,runtime,vote_average,vote_count
817758,35000000,"['Drame', 'Musique']",en,48.961,2022-09-23,5250783,158,7.227,686
19913,7500000,"['Comédie', 'Drame', 'Romance']",en,48.96,2009-07-17,60781545,96,7.267,9072
62,12000000,"['Science-Fiction', 'Mystère', 'Aventure']",en,48.95,1968-04-02,71923560,156,8.085,10154
36419,4500000,"['Drame', 'Horreur', 'Mystère', 'Thriller']",en,48.88,2009-11-07,3606395,102,6.241,948
297,90000000,"['Fantastique', 'Drame', 'Romance']",en,48.855,1998-11-12,142940100,181,7.276,4386
447404,150000000,"['Action', 'Aventure', 'Fantastique']",en,48.829,2019-05-10,449762638,104,6.963,6083
1110918,0,['Comédie'],es,48.748,2023-04-20,0,94,2.0,1
39101,0,"['Action', 'Animation', 'Science-Fiction']",ja,48.745,1990-06-07,15000000,60,6.504,460
12092,3000000,"['Animation', 'Familial', 'Fantastique', 'Aventure']",en,48.741,1951-07-28,57200000,75,7.19,5286
290859,185000000,"['Science-Fiction', 'Action']",en,48.671,2019-10-23,261119292,128,6.456,4439
964819,0,['Drame'],de,48.663,2023-04-27,0,117,0.0,0
625568,33000000,"['Action', 'Thriller']",en,48.657,2020-07-16,39238300,91,6.431,1823
242562,0,['Drame'],ja,48.636,2007-01-25,0,75,3.5,2
157350,85000000,"['Action', 'Aventure', 'Science-Fiction']",en,48.566,2014-03-14,288747895,140,6.9,11873
87428,70000000,"['Comédie', 'Drame']",en,48.544,2012-06-14,58058367,114,5.765,1642
1359,7000000,"['Thriller', 'Drame', 'Crime']",en,48.513,2000-04-13,34266564,101,7.394,9292
521029,30000000,"['Horreur', 'Mystère', 'Thriller']",en,48.512,2019-06-26,231252591,106,6.439,3045
8871,123000000,"['Familial', 'Comédie', 'Fantastique']",en,48.477,2000-11-15,345823040,104,6.744,6527
811592,0,['Action'],en,48.44,2021-11-05,29439,96,6.8,782
80321,145000000,"['Animation', 'Familial', 'Comédie', 'Aventure']",en,48.422,2012-06-06,746921274,93,6.6,5500
280002,0,"['Thriller', 'Horreur']",en,48.421,2014-08-25,1169603,88,5.982,327
482321,0,"['Animation', 'Science-Fiction', 'Familial', 'Comédie']",en,48.396,2021-10-14,60692022,107,7.997,1564
