id,budget,genres,original_language,popularity,release_date,revenue,runtime,vote_average,vote_count
926899,0,"['Animation', 'Drame', 'Comédie', 'Horreur', 'Fantastique']",en,64.462,2022-01-14,0,97,7.071,843
49519,135000000,"['Animation', 'Aventure', 'Familial', 'Fantastique', 'Comédie', 'Action']",en,64.461,2013-03-15,587204668,92,6.91,6414
571891,0,"['Animation', 'Aventure', 'Fantastique', 'Action', 'Familial']",ja,64.419,2019-07-12,26654184,98,6.682,439
716263,0,"['Drame', 'Romance']",ko,64.338,2020-06-10,0,70,5.5,4
844396,0,"['Science-Fiction', 'Horreur']",en,64.318,2022-11-11,0,87,5.306,36
480414,9000000,"['Horreur', 'Mystère', 'Thriller']",en,64.29,2019-04-17,122033739,93,5.704,2131
1029446,0,['Drame'],tl,64.276,2022-10-28,0,113,7.217,23
3170,858000,"['Animation', 'Drame', 'Familial']",en,64.265,1942-02-11,267447150,69,7.009,5070
13,55000000,"['Comédie', 'Drame', 'Romance']",en,64.063,1994-06-23,677387716,120,8.481,24517
614934,85000000,"['Drame', 'Musique', 'Histoire']",en,64.056,2022-06-22,286000000,159,7.636,2537
311324,150000000,"['Action', 'Aventure', 'Fantastique']",en,64.039,2016-12-16,331957105,104,5.993,4582
280092,10000000,"['Horreur', 'Thriller', 'Mystère']",en,64.032,2015-05-28,112983889,97,6.286,2955
118406,0,"['Animation', 'Fantastique', 'Action']",ja,64.011,2012-07-28,17900000,110,7.579,868
998845,0,"['Drame', 'Histoire']",no,64.004,2023-01-27,0,101,7.9,8
546554,40000000,"['Comédie', 'Crime', 'Mystère']",en,63.956,2019-11-27,309232797,130,7.854,10622
993145,0,"['Action', 'Crime']",en,63.89,2022-08-19,0,91,5.9,31
8274,10000000,['Comédie'],en,63.822,2005-10-30,0,94,5.452,1873
25475,0,"['Animation', 'Familial', 'Aventure', 'Fantastique']",en,63.778,2009-09-03,0,75,6.793,861
8960,150000000,"['Fantastique', 'Action']",en,63.774,2008-07-01,629443428,92,6.343,8685
57158,250000000,"['Fantastique', 'Aventure', 'Action']",en,63.739,2013-12-11,958400000,161,7.574,11921
637,20000000,"['Comédie', 'Drame']",it,63.719,1997-12-20,230098753,117,8.453,11836
821420,0,['Thriller'],en,63.655,2022-02-11,0,85,6.5,46
105905,0,"['Drame', 'Romance']",ja,63.59,1973-07-04,0,75,6.7,3
307081,30000000,"['Action', 'Drame']",en,63.575,2015-03-24,91709827,124,7.361,5042
98,103000000,"['Action', 'Drame', 'Aventure']",en,63.573,2000-05-04,465361176,155,8.204,16363
441168,0,"['Drame', 'Téléfilm']",en,63.494,2017-02-11,0,75,6.0,107
452251,0,"['Romance', 'Drame']",ko,63.418,2016-12-29,0,81,6.2,11
957174,0,[],ja,63.327,1987-07-18,0,64,6.5,1
654910,0,"['Familial', 'Aventure']",en,63.242,2022-10-13,0,94,6.889,36
16869,70000000,"['Drame', 'Thriller', 'Guerre']",en,63.078,2009-08-19,321457747,153,8.215,20083
674324,0,"['Drame', 'Comédie']",en,63.026,2022-10-20,41000000,114,7.515,1671
12155,200000000,"['Familial', 'Fantastique', 'Aventure']",en,62.887,2010-03-03,1025467110,108,6.619,12826
721164,0,['Romance'],ko,62.878,2019-09-30,0,0,5.2,3
643274,0,['Romance'],ko,62.878,2019-04-29,0,84,6.4,8
399579,170000000,"['Action', 'Science-Fiction', 'Aventure']",en,62.878,2019-01-31,404980543,122,7.213,8146
667276,0,"['Animation', 'Comédie', 'Fantastique', 'Aventure', 'Familial']",es,62.803,2021-02-15,0,90,8.256,199
780609,0,"['Horreur', 'Thriller', 'Fantastique']",en,62.768,2022-05-20,7168717,100,6.284,702
12092,3000000,"['Animation', 'Familial', 'Fantastique', 'Aventure']",en,62.649,1951-07-28,57200000,75,7.191,5285
814338,0,"['Drame', 'Romance']",en,62.628,2022-09-02,0,126,6.756,254
72331,69000000,"['Action', 'Fantastique', 'Horreur']",en,62.606,2012-06-20,116471580,105,5.7,2981
486589,0,"['Animation', 'Romance', 'Familial']",en,62.589,2019-07-25,10054356,91,7.776,936
82675,45000000,"['Action', 'Crime', 'Thriller']",en,62.585,2012-09-27,376141306,98,6.332,6025
769636,0,"['Drame', 'Thriller']",es,62.554,2022-03-18,0,105,5.853,129
39101,0,"['Action', 'Animation', 'Science-Fiction']",ja,62.551,1990-06-07,15000000,60,6.504,460
43947,2000000,"['Thriller', 'Crime', 'Horreur']",en,62.541,2010-06-17,572809,107,6.509,1953
343611,60000000,"['Action', 'Thriller']",en,62.506,2016-10-19,162146076,118,5.927,4336
240832,40000000,"['Action', 'Science-Fiction']",en,62.493,2014-07-25,458863600,89,6.4,14822
776512,0,"['Comédie', 'Drame']",en,62.486,2022-05-13,0,86,6.581,43
440249,500000,['Documentaire'],en,62.458,2017-03-28,0,99,5.4,211
10867,0,['Drame'],it,62.4,2000-03-16,14493284,109,7.426,1907
4564,65000000,"['Comédie', 'Drame', 'Romance']",en,62.371,2008-05-12,415252786,145,6.6,1922
36865,0,"['Comédie', 'Science-Fiction', 'Mystère', 'Animation', 'Drame']",ja,62.359,2010-02-05,0,162,7.7,190
449443,30000000,"['Action', 'Thriller', 'Crime']",en,62.356,2018-01-18,80509622,140,6.762,2516
577922,205000000,"['Action', 'Thriller', 'Science-Fiction']",en,62.354,2020-08-22,363129000,150,7.204,8228
18239,50000000,"['Aventure', 'Fantastique', 'Drame', 'Romance']",en,62.303,2009-11-18,709827462,125,6.007,8401
375794,0,['Comédie'],es,62.269,2016-09-02,12421716,100,7.801,715
246655,178000000,"['Action', 'Aventure', 'Science-Fiction', 'Fantastique']",en,62.24,2016-05-18,543934787,144,6.5,11926
249397,0,"['Drame', 'Mystère']",en,62.139,2013-12-25,4934725,119,6.769,2598
50546,80000000,"['Comédie', 'Romance']",en,61.959,2011-02-10,214945591,111,6.7,5090
9288,0,"['Action', 'Aventure', 'Fantastique', 'Téléfilm']",en,61.918,2005-09-01,0,101,4.3,95
210577,61000000,"['Mystère', 'Thriller', 'Drame']",en,61.897,2014-10-01,369330363,145,7.892,16866
339846,69000000,"['Comédie', 'Action', 'Crime']",en,61.89,2017-05-25,177856751,119,6.098,7353
421892,0,"['Animation', 'Familial', 'Comédie', 'Fantastique']",en,61.873,,0,0,0.0,0
610253,20000000,"['Horreur', 'Thriller']",en,61.841,2021-10-14,131647155,105,6.551,2237
13002,0,"['Animation', 'Familial']",en,61.839,2006-09-19,0,83,7.7,955
12230,4000000,"['Aventure', 'Animation', 'Comédie', 'Familial']",en,61.673,1961-01-25,85000000,79,7.169,5634
447332,17000000,"['Horreur', 'Drame', 'Science-Fiction']",en,61.657,2018-04-03,341000000,90,7.4,12663
896221,0,"['Animation', 'Fantastique', 'Familial']",en,61.602,2021-11-26,0,30,7.2,163
1003960,250094,['Horreur'],en,61.548,2021-12-10,0,98,2.0,1
9453,17500000,"['Drame', 'Histoire', 'Romance']",en,61.464,1979-08-14,23438120,120,5.992,657
9702,35000000,"['Crime', 'Action', 'Drame', 'Thriller']",en,61.433,1993-02-05,0,190,8.117,1053
125509,3000000,"['Horreur', 'Thriller']",en,61.418,2012-10-23,0,87,5.396,797
1005776,0,"['Horreur', 'Thriller']",en,61.381,2022-09-15,0,100,6.2,154
576925,0,"['Animation', 'Aventure', 'Familial']",ru,61.318,2021-10-14,0,94,6.5,31
539885,0,"['Action', 'Crime', 'Drame', 'Aventure', 'Thriller']",en,61.302,2020-07-02,2987741,96,5.766,2204
1010823,0,"['Animation', 'Familial', 'Science-Fiction', 'Comédie']",en,61.285,2022-07-18,0,5,7.326,192
470878,7000000,"['Musique', 'Drame']",en,61.274,2018-02-14,86026201,110,7.522,404
52629,0,"['Drame', 'Crime', 'Comédie']",es,61.157,2010-09-03,0,145,7.865,526
49444,150000000,"['Animation', 'Familial']",en,61.112,2011-05-25,665692281,95,6.946,6131
25769,0,"['Action', 'Drame', 'Horreur', 'Science-Fiction', 'Thriller']",en,61.072,2009-09-04,5802422,84,6.084,1247
15092,20000000,"['Action', 'Thriller', 'Crime']",en,61.023,2009-04-16,34560577,95,6.0,2479
799876,0,['Crime'],en,60.985,2022-02-25,4026709,105,7.157,674
396422,15000000,"['Horreur', 'Mystère', 'Thriller']",en,60.894,2017-08-03,306515884,109,6.598,5091
294254,61000000,"['Science-Fiction', 'Action', 'Thriller', 'Aventure']",en,60.843,2015-09-09,312296056,133,6.725,9420
1052865,0,"['Horreur', 'Mystère']",id,60.81,2023-04-19,0,121,7.2,3
545609,65000000,"['Drame', 'Action', 'Thriller']",en,60.773,2020-04-24,0,116,7.343,4928
